date,wind_m_s,temp_C,rain_mm
20250905,2.25,18.42,0.11
20250906,1.99,19.29,0.08
20250907,1.75,20.79,0.05
20250908,1.57,20.56,0.02
20250909,1.88,19.35,0.69
20250910,1.84,18.14,1.33
20250911,1.8,18.09,0.42
20250912,2.02,18.78,0.2
20250913,2.21,17.11,0.3
20250914,2.07,19.44,0.06
20250915,0.8,23.27,0.01
20250916,1.08,25.73,0
20250917,1.13,25.4,0.48
20250918,1.89,20.34,3.03
20250919,1.59,20.8,0.32
20250920,1.41,21.21,0
20250921,1.78,20.42,0.09
20250922,1.14,22.55,0
20250923,1.1,26.59,0
20250924,1.43,21.71,1.34
20250925,1.9,20.84,2.06
20250926,1.41,20.48,0.02
20250927,2.16,18.78,0.03
20250928,1.44,18.91,1.28
20250929,1.35,19.27,0.55
20250930,1.64,18.35,0.91
20251001,1.16,18.91,0.95
20250707,2.93,17.99,0
20250708,2.51,18.37,0
20250709,2.2,18.65,0
20250710,2.22,22.7,0
20250711,2.6,23.67,0.01
20250712,3.21,20.12,0
20250713,2.59,20.86,0
20250714,2.5,21.69,0
20250715,3.42,18.26,0.01
20250716,3.15,17.15,0.01
20250717,2.44,18.22,0.01
20250718,2.75,17.63,0.01
20250719,3.2,16.14,0.01
20250720,3.58,15.83,0.02
20250721,3.84,16.43,0.03
20250722,2.78,16.16,0.02
20250723,2.73,17.49,0
20250724,2.78,17.12,0
20250725,3.26,15.82,0.04
20250726,3.17,16.11,0.05
20250727,2.86,15.91,0.02
20250728,2.92,17.5,0.01
20250729,3.3,17.72,0.01
20250730,3.12,16.8,0.01
20250731,2.73,19.05,0.01
20250801,3.01,18.12,0.01
20250802,2.99,17.79,0.01
20250803,3.79,16.47,0.01
20250804,3.67,17.45,0
20250805,3.11,17.09,0
20250806,2.29,21.18,0
20250807,2.68,20.76,0
20250808,2.15,23.68,0
20250809,2.09,24.3,0
20250810,2.16,23.14,0
20250811,2.69,20.3,0.01
20250812,3.08,18.5,0.02
20250813,3.1,18.56,0.02
20250814,2.88,18.37,0.01
20250815,3.14,19.55,0.01
20250816,3.86,19.52,0.01
20250817,3.48,17.81,0.01
20250818,2.6,18.8,0
20250819,2.64,18.49,0.01
20250820,2.27,22.21,0.01
20250821,2.12,23.21,0.01
20250822,2.56,20.53,0.02
20250823,2.89,19.59,0.02
20250824,2.6,19.34,0.01
20250825,2.54,20.24,0.01
20250826,2.61,20.32,0.01
20250827,2.34,19.76,0.05
20250828,2.25,19.75,0.02
20250829,2.62,18.49,0.08
20250830,1.72,24.07,0.02
20250831,1.96,25.72,0
20250901,1.22,26.08,0
20250902,2.08,22.95,0.06
20250903,1.5,21.93,0.01
20250904,2.09,18.46,0.1
20250905,2.25,18.42,0.11
20250906,1.99,19.29,0.08
20250907,1.75,20.79,0.05
20250908,1.57,20.56,0.02
20250909,1.88,19.35,0.69
20250910,1.84,18.14,1.33
20250911,1.8,18.09,0.42
20250912,2.02,18.78,0.2
20250913,2.21,17.11,0.3
20250914,2.07,19.44,0.06
20250915,0.8,23.27,0.01
20250916,1.08,25.73,0
20250917,1.13,25.4,0.48
20250918,1.89,20.34,3.03
20250919,1.59,20.8,0.32
20250920,1.41,21.21,0
20250921,1.78,20.42,0.09
20250922,1.14,22.55,0
20250923,1.1,26.59,0
20250924,1.43,21.71,1.34
20250925,1.9,20.84,2.06
20250926,1.41,20.48,0.02
20250927,2.16,18.78,0.03
20250928,1.44,18.91,1.28
20250929,1.35,19.27,0.55
20250930,1.64,18.35,0.91
20251001,1.16,18.91,0.95
20251002,,,
20251003,,,
